"Country","Province","City","Latitude","Longitude","Population","Year",
"Turkey","","Icel","","","422357","94"
"Turkey","","Hatay","","","133474","94"
"Turkey","Adana","Adana","36.9833","35.3","1047300","94"
"Turkey","Adana","Osmaniye","","","138000","94"
"Turkey","Adiyaman","Adiyaman","","","128000","94"
"Turkey","Afyon","Afyon","","","",""
"Turkey","Agri","Agri","","","",""
"Turkey","Aksaray","Aksaray","","","",""
"Turkey","Amasya","Amasya","","","",""
"Turkey","Ankara","Ankara","39.95","32.8833","2782200","94"
"Turkey","Antalya","Antalya","","","497200","94"
"Turkey","Artvin","Artvin","","","",""
"Turkey","Aydin","Aydin","","","121200","94"
"Turkey","Balikesir","Balikesir","","","187600","94"
"Turkey","Batman","Batman","","","182800","94"
"Turkey","Bayburt","Bayburt","","","",""
"Turkey","Bilecik","Bilecik","","","",""
"Turkey","Bingol","Bingol","","","",""
"Turkey","Bitlis","Bitlis","","","",""
"Turkey","Bolu","Bolu","","","",""
"Turkey","Burdur","Burdur","","","",""
"Turkey","Bursa","Bursa","","","996600","94"
"Turkey","Canakkale","Canakkale","","","",""
"Turkey","Cankiri","Cankiri","","","",""
"Turkey","Corum","Corum","","","",""
"Turkey","Denizli","Denizli","","","234500","94"
"Turkey","Diyarbakir","Diyarbakir","","","448300","94"
"Turkey","Edirne","Edirne","","","115500","94"
"Turkey","Elazig","Elazig","","","222800","94"
"Turkey","Erzincan","Erzincan","","","",""
"Turkey","Erzurum","Erzurum","","","250100","94"
"Turkey","Eskisehir","Eskisehir","","","451000","94"
"Turkey","Gaziantep","Gaziantep","","","716000","94"
"Turkey","Giresun","Giresun","","","",""
"Turkey","Gumushane","Gumushane","","","",""
"Turkey","Hakkari","Hakkari","","","",""
"Turkey","Hatay","Iskenderun","","","156800","94"
"Turkey","Hatay","Antakya","","","137200","94"
"Turkey","Icel","Mersin","","","523000","94"
"Turkey","Icel","Tarsus","","","225000","94"
"Turkey","Isparta","Isparta","","","120900","94"
"Turkey","Istanbul","Istanbul","40.9667","28.8333","7615500","94"
"Turkey","Izmir","Izmir","38.4333","27.1667","1985300","94"
"Turkey","Karaman","Karaman","","","",""
"Turkey","Karamanmaras","Karaman Maras","","","242200","94"
"Turkey","Kars","Kars","","","",""
"Turkey","Kastamonu","Kastamonu","","","",""
"Turkey","Kayseri","Kayseri","","","454000","94"
"Turkey","Kirikkale","Kirikkale","","","170300","94"
"Turkey","Kirklareli","Kirklareli","","","",""
"Turkey","Kirsehir","Kirsehir","","","",""
"Turkey","Kocaeli","Izmit","","","275800","94"
"Turkey","Kocaeli","Kocaeli","","","256882","94"
"Turkey","Kocaeli","Gebze","","","237300","94"
"Turkey","Kocaeli","Adapazari","","","186000","94"
"Turkey","Konya","Konya","","","576000","94"
"Turkey","Kutahya","Kutahya","","","140700","94"
"Turkey","Malatya","Malatya","","","319700","94"
"Turkey","Manisa","Manisa","","","187500","94"
"Turkey","Mardin","Mardin","","","",""
"Turkey","Mugla","Mugla","","","",""
"Turkey","Mus","Mus","","","",""
"Turkey","Nevsehir","Nevsehir","","","",""
"Turkey","Nigde","Nigde","","","",""
"Turkey","Ordu","Ordu","","","121300","94"
"Turkey","Rize","Rize","","","",""
"Turkey","Sakarya","Sakarya","","","",""
"Turkey","Samsun","Samsun","","","326900","94"
"Turkey","Sanliurfa","Sanliurfa","","","357900","94"
"Turkey","Siirt","Siirt","","","",""
"Turkey","Sinop","Sinop","","","",""
"Turkey","Sirnak","Sirnak","","","",""
"Turkey","Sivas","Sivas","","","240100","94"
"Turkey","Tekirdag","Tekirdag","","","",""
"Turkey","Tokat","Tokat","","","",""
"Turkey","Trabzon","Trabzon","","","145400","94"
"Turkey","Tunceli","Tunceli","","","",""
"Turkey","Usak","Usak","","","119900","94"
"Turkey","Van","Van","","","194600","94"
"Turkey","Yozgat","Yozgat","","","",""
"Turkey","Zonguldak","Zonguldak","","","115900","94"
"Turkey","Zonguldak","Karabuk","","","113900","94"
